id	x	y
M_cpd00297_c0	7300.0	8275.0
M_cpd00655_c0	5500.0	3525.0
R_rxn00100_LSQBKT_c0_RSQBKT_	5500.0	3425.0
M_cpd00146_c0	8200.0	12200.0
R_rxn01018_LSQBKT_c0_RSQBKT_	8875.0	12200.0
M_cpd00343_c0	8875.0	12000.0
M_cpd00107_c0	1375.0	21525.0
R_rxn00806_LSQBKT_c0_RSQBKT_	1375.0	21175.0
M_cpd00200_c0	1275.0	21175.0
M_cpd01775_c0	10450.0	5750.0
R_rxn02834_LSQBKT_c0_RSQBKT_	10450.0	5650.0
M_cpd01777_c0	10275.0	5650.0
M_cpd02666_c0	5425.0	3575.0
R_rxn02341_LSQBKT_c0_RSQBKT_	5425.0	3375.0
M_cpd00834_c0	5600.0	3375.0
M_cpd02979_c0	10525.0	5800.0
R_rxn03175_LSQBKT_c0_RSQBKT_	10525.0	5600.0
M_cpd02991_c0	10200.0	5600.0
M_cpd00290_c0	6025.0	12325.0
R_rxn00786_LSQBKT_c0_RSQBKT_	6225.0	12325.0
M_cpd00342_c0	3325.0	2225.0
R_rxn01637_LSQBKT_c0_RSQBKT_	3175.0	2225.0
M_cpd00918_c0	3175.0	2125.0
M_cpd11586_c0	11200.0	22675.0
R_rxn12640_LSQBKT_c0_RSQBKT_	11200.0	22575.0
M_cpd00067_e0	9225.0	12250.0
R_rxn05596_LSQBKT_c0_RSQBKT_	3700.0	10225.0
M_cpd00205_c0	3600.0	10225.0
M_cpd00205_e0	3700.0	10325.0
M_cpd01078_c0	675.0	75.0
R_rxn02569_LSQBKT_c0_RSQBKT_	350.0	75.0
M_cpd03078_c0	350.0	325.0
M_cpd00810_c0	8875.0	11800.0
R_rxn00710_LSQBKT_c0_RSQBKT_	8875.0	11700.0
M_cpd00091_c0	8600.0	11700.0
M_cpd01620_c0	1500.0	19900.0
R_rxn02775_LSQBKT_c0_RSQBKT_	1500.0	19800.0
M_cpd03420_c0	1600.0	19800.0
M_cpd14961_c0	500.0	19100.0
R_rxn07589_LSQBKT_c0_RSQBKT_	500.0	19000.0
M_cpd08375_c0	925.0	19000.0
M_cpd00307_c0	9150.0	11600.0
R_rxn00717_LSQBKT_c0_RSQBKT_	9050.0	11600.0
M_cpd00092_c0	8950.0	11600.0
M_cpd15747_c0	19650.0	125.0
R_rxn10308_LSQBKT_c0_RSQBKT_	19650.0	25.0
M_cpd15765_c0	19750.0	25.0
M_cpd11436_c0	19950.0	125.0
R_rxn05249_LSQBKT_c0_RSQBKT_	19950.0	25.0
M_cpd11437_c0	20050.0	25.0
M_cpd01997_c0	1700.0	13150.0
R_rxn02897_LSQBKT_c0_RSQBKT_	1800.0	13150.0
M_cpd00873_c0	1800.0	13050.0
M_cpd00218_c0	1900.0	13150.0
M_cpd02904_c0	1800.0	13250.0
M_cpd03495_c0	8525.0	11900.0
R_rxn03409_LSQBKT_c0_RSQBKT_	8425.0	11900.0
M_cpd03496_c0	8425.0	11800.0
R_rxn01301_LSQBKT_c0_RSQBKT_	5325.0	9350.0
R_rxn07191_LSQBKT_c0_RSQBKT_	5250.0	8975.0
M_cpd08368_c0	975.0	19650.0
R_rxn04046_LSQBKT_c0_RSQBKT_	1150.0	19650.0
M_cpd08369_c0	1150.0	19750.0
M_cpd03491_c0	20250.0	125.0
R_rxn03407_LSQBKT_c0_RSQBKT_	20250.0	25.0
M_cpd03492_c0	20350.0	25.0
M_cpd02210_c0	3875.0	18650.0
R_rxn01682_LSQBKT_c0_RSQBKT_	3875.0	18550.0
M_cpd00359_c0	4075.0	18550.0
M_cpd02720_c0	4000.0	10650.0
R_rxn02474_LSQBKT_c0_RSQBKT_	4250.0	10650.0
M_cpd00931_c0	4250.0	10800.0
M_cpd15750_c0	20550.0	125.0
R_rxn10311_LSQBKT_c0_RSQBKT_	20550.0	25.0
M_cpd15768_c0	20650.0	25.0
M_cpd00350_c0	1700.0	13575.0
R_rxn01486_LSQBKT_c0_RSQBKT_	1700.0	13900.0
M_cpd00289_c0	1600.0	13900.0
M_cpd02498_c0	1625.0	20925.0
R_rxn00898_LSQBKT_c0_RSQBKT_	1725.0	20925.0
M_cpd00809_c0	2175.0	5875.0
R_rxn01069_LSQBKT_c0_RSQBKT_	2175.0	5775.0
M_cpd00668_c0	1525.0	21125.0
R_rxn02113_LSQBKT_c0_RSQBKT_	1200.0	21125.0
M_cpd00361_c0	1200.0	21025.0
M_cpd00062_c0	8125.0	8300.0
R_rxn00117_LSQBKT_c0_RSQBKT_	8025.0	8300.0
R_rxn00555_LSQBKT_c0_RSQBKT_	6475.0	10950.0
M_cpd00288_c0	6950.0	10950.0
R_rxn00260_LSQBKT_c0_RSQBKT_	8225.0	14700.0
M_cpd00939_c0	950.0	4450.0
R_rxn02484_LSQBKT_c0_RSQBKT_	950.0	4350.0
M_cpd02775_c0	1050.0	4350.0
M_cpd00069_c0	8000.0	15725.0
R_rxn00527_LSQBKT_c0_RSQBKT_	8325.0	15725.0
M_cpd00868_c0	8325.0	14325.0
M_cpd00209_e0	20850.0	125.0
R_rxn05171_LSQBKT_c0_RSQBKT_	20850.0	25.0
M_cpd00209_c0	20950.0	25.0
R_rxn04052_LSQBKT_c0_RSQBKT_	925.0	19100.0
M_cpd03421_c0	925.0	19200.0
R_rxn04045_LSQBKT_c0_RSQBKT_	975.0	19900.0
M_cpd00149_c0	875.0	19900.0
M_cpd00504_c0	5125.0	10100.0
R_rxn01974_LSQBKT_c0_RSQBKT_	3775.0	10100.0
M_cpd00516_c0	3775.0	10550.0
M_cpd11581_c0	450.0	22275.0
R_rxn12645_LSQBKT_c0_RSQBKT_	450.0	22175.0
M_cpd00132_c0	350.0	22175.0
M_cpd02978_c0	12250.0	75.0
R_rxn00299_LSQBKT_c0_RSQBKT_	12250.0	175.0
M_cpd00177_c0	3650.0	16500.0
R_rxn00839_LSQBKT_c0_RSQBKT_	3550.0	16500.0
M_cpd02737_c0	5875.0	3825.0
R_rxn03020_LSQBKT_c0_RSQBKT_	5775.0	1250.0
M_cpd02246_c0	3775.0	4025.0
M_cpd00971_c0	3625.0	1250.0
M_cpd02438_c0	5775.0	3875.0
M_cpd00895_c0	6625.0	6500.0
M_cpd00971_e0	3050.0	1325.0
M_cpd00117_c0	3275.0	1075.0
R_rxn00283_LSQBKT_c0_RSQBKT_	3375.0	1075.0
R_rxn01022_LSQBKT_c0_RSQBKT_	875.0	6350.0
M_cpd00128_c0	775.0	6350.0
M_cpd02574_c0	875.0	6450.0
M_cpd15678_c0	17650.0	125.0
R_rxn10221_LSQBKT_c0_RSQBKT_	17650.0	25.0
M_cpd15684_c0	17825.0	25.0
R_rxn09177_LSQBKT_c0_RSQBKT_	5675.0	3575.0
M_cpd02201_c0	5675.0	3675.0
